0.19842805842154776, 0.25560174862611973, 0.6894148588961307, 0.8684360258355199, 0.9367151156864544, 0.25740161174361476, 0.0772509210048209, 0.5597026679091367, 0.42197013371861314, 0.9270798841374492, 
0.2958830729163685, 0.40196099544731645, 0.2333697235484058, 0.589960979492395, 0.34712144152154456, 0.8497298513298394, 0.9836135743756936, 0.542722604421996, 0.04384184784347256, 0.6468550633777713, 
0.8722406850392883, 0.9739493638356906, 0.7674831229967072, 0.89282213505141, 0.647864881378008, 0.4421322461557722, 0.41300093639776037, 0.2588069754793688, 0.9860968292838811, 0.8608944642373142, 
0.2629215441762799, 0.3113839180843232, 0.49678523140616093, 0.8045477753955911, 0.8181073753572196, 0.3131026622291003, 0.038880317940775844, 0.16754671641027852, 0.13921602439349945, 0.8043782323434192, 
0.6737441748727651, 0.5778664900968603, 0.3681101490338772, 0.35376475690623743, 0.07796225527580358, 0.0635472180597969, 0.25213468923945637, 0.6568460776840384, 0.5943360453131475, 0.8068051095584203, 
0.09248953160727524, 0.027338254804325057, 0.45731176370958215, 0.7687480456241116, 0.36950809207797786, 0.12919282979573643, 0.3509644310715079, 0.6544341770663096, 0.19394485042473808, 0.05767282713423716, 
0.5959613817560957, 0.9273708176870129, 0.2786446909421805, 0.3522843471509951, 0.07113016539724071, 0.6667513707441308, 0.2658021044282346, 0.22114708605325795, 0.3659894588891536, 0.8190092587217561, 
0.8958515884600624, 0.05451633997557204, 0.6941475647803128, 0.22650086142743409, 0.1292538947235905, 0.3479540251751031, 0.5417743208399757, 0.1698130457433632, 0.4861602705902274, 0.6142202749050766, 
0.02626402480857748, 0.7883367747600206, 0.5630537005526226, 0.29571232730924557, 0.14048313253443123, 0.9504750151574025, 0.14994532542092964, 0.2613312043716739, 0.3289488522303756, 0.44483358475745727, 
0.5253519761029273, 0.6863219882635858, 0.7145977770100682, 0.08115598473090058, 0.8729631837532001, 0.6997266947898118, 0.8099171831853432, 0.3797612475680877, 0.4333887655263394, 0.20224154885834655

0.5928115158532806, 0.5841183723655521, 0.4102647608947805, 0.973663033153832, 0.953403678218819, 0.37227493330321904, 0.581050855121887, 0.6945424891024422, 0.23952418973725176, 0.34508561218761735, 0.6654786023914508, 0.41104297904396037, 0.11304570590204366, 0.6487958908705616, 0.29744139987722895, 0.26430132169226217, 0.817856779902537, 0.24860604332377645, 0.7380822078851584, 0.025705568753754626, 0.742240094258376, 0.8304034205384834, 0.32412346510769763, 0.45963778839315517, 0.23056579530328958, 0.0796841318678071, 0.9104587400777164, 0.3007023739648479, 0.5838771071786952, 0.4774204025507439, 0.4393685768895558, 0.6602744813001762, 0.7697099587005684, 0.47478039237422, 0.4995541294931758, 0.7700894118426258, 0.9119904235877511, 0.7404925704387754, 0.6300971313548646, 0.385900579244847, 0.04315887706273103, 0.506017465666098, 0.9374861200539134, 0.32757589736304793, 0.7821578315798163, 0.32133154398815544, 0.9115249328400484, 0.6764488229278772, 0.41123094390147874, 0.2545853256644869, 0.8153314068834479, 0.5513880116007688, 0.7086387762402452, 0.5490492632752886, 0.9049773128156806, 0.751298092056707, 0.814809313471659, 0.9561550937656933, 0.013077353785601709, 0.11452930781836901, 0.8096502516461042, 0.07252565766355401, 0.20646738945258436, 0.30748771342526704, 0.8740539596955557, 0.7225922842667499, 0.3929715663844279, 0.35366286556806037, 0.15532019105446637, 0.7181607637037477, 0.37524364463290505, 0.18716994104880058, 0.8771407598665841, 0.3036698673853184, 0.17912899107630142, 0.33389880551527185, 0.38247442499913986, 0.036167362161220074, 0.5664501088004457, 0.3182289182368925, 0.6810314321631838, 0.07135056146604002, 0.26822215742566347, 0.8184198296751901, 0.5259619365248104, 0.2889944509449017, 0.36146951559809304, 0.2505638836977031, 0.4267039575052517, 0.1542604403117429, 0.2998715208916777, 0.893131284431942, 0.8919097449442907, 0.8554000020986396, 0.6600660459888706, 0.6058956751955907, 0.5551115511084471, 0.5059400390393054, 0.6054456685448107, 0.9964436030120618
