0.522359864426343, 0.8849141289858853, 0.729736292804737, 0.5743582502729523, 0.23325635191892446, 0.3294878628796605, 0.695327046065986, 0.3360971902875538, 0.21030406551539016, 0.13484737258648227, 
0.12823742644909997, 0.8926072834321302, 0.5250474349243591, 0.8925847293399184, 0.6073210233700084, 0.9795829302634876, 0.9745648512066815, 0.1779296910175393, 0.06953775528110506, 0.3367233645550616, 
0.5708792543172692, 0.04982050539980565, 0.967884451900452, 0.3414335544547662, 0.09380760111426656, 0.12209999710345376, 0.45398882598735213, 0.7831571797383691, 0.44924261723019654, 0.4302269836159447, 
0.22195107704941897, 0.7298220809080795, 0.634273006616489, 0.9145098849577942, 0.4982293330914309, 0.7475198527132613, 0.8948278917144898, 0.23775100182446252, 0.6196025150907248, 0.3465332711579504, 
0.6750785166649972, 0.7108725434208094, 0.4084724557210907, 0.48010656481610825, 0.569565040975824, 0.26681212378913977, 0.9112001172777932, 0.42441367083745807, 0.8133448427663611, 0.6153543035499696, 
0.3597239249886798, 0.3892588282682613, 0.3036994659046305, 0.25000651561241694, 0.017692602306257688, 0.1633276251439385, 0.6681172757215951, 0.180976562997343, 0.6735355553751307, 0.6431111645396181, 
0.4525484725401183, 0.6665767931242991, 0.8162366670050926, 0.2621653876943365, 0.5322622205376558, 0.7950840586857583, 0.2865201749838966, 0.054478617617121916, 0.4775777684557959, 0.12222376945258384, 
0.38768082909377977, 0.5579600199799403, 0.3341608430027875, 0.5116020751932103, 0.7379462957582901, 0.9964530646665083, 0.4150592975341104, 0.9525500698642352, 0.3590833372550505, 0.8206842343451519, 
0.9479105161938834, 0.5687114987961412, 0.7607311677023344, 0.663423457398343, 0.3158400670734509, 0.4526984502693233, 0.7141140207048361, 0.9022005583037974, 0.41453615950093126, 0.13328073310350297, 
0.7175251602013487, 0.3788501941742979, 0.4751929884842897, 0.5539581216839852, 0.4546423588725468, 0.11128696928635429, 0.8495367209972351, 0.28255183171481657, 0.7011566192798769, 0.3211311131880812

0.11644645945199239, 0.588172788002364, 0.40491521905778116, 0.5964764760189866, 0.6769540773895109, 0.7849181030870966, 0.5036367729742274, 0.21715535337413183, 0.6066358032829898, 0.7580057839772204, 0.2931770932237404, 0.3275711311874663, 0.30555131542766556, 0.07096644855988044, 0.8959240227110662, 0.03245561662064944, 0.5866596690810826, 0.39211000069596413, 0.8125062475904565, 0.8536915270553744, 0.1112697506591741, 0.004993745500792679, 0.5198441243304731, 0.7796602490063618, 0.8772173088362777, 0.2917162070133288, 0.4435795567312302, 0.6466737115088591, 0.7874558928032589, 0.6654860765919147, 0.872502291900029, 0.48627422533928955, 0.22884558813454903, 0.015085324035726932, 0.7155064042818792, 0.2733294705784396, 0.760689564445467, 0.32635610175625196, 0.4386896341565024, 0.5267732942643495, 0.356918200052464, 0.10852419688574855, 0.10519195868433662, 0.06446654823465581, 0.13603726390967608, 0.3394935011774193, 0.9168319919775274, 0.8733012278404466, 0.4616283395140325, 0.7475887364963171, 0.1271216327463195, 0.6298895877228123, 0.25945043358145936, 0.506234152260484, 0.7762665322534187, 0.9069729278950969, 0.4128095686591057, 0.3519206684774444, 0.01016276716890352, 0.6370349729368817, 0.16846741196071757, 0.44691882315391696, 0.025127207256630757, 0.7995404747648971, 0.6209138145928507, 0.4322835909523599, 0.30465498340089137, 0.9346299831625088, 0.8120390007689545, 0.4091965574813293, 0.4743387323316285, 0.8107717255782584, 0.12780021590830692, 0.9150006155495897, 0.6961362743608743, 0.9133775204685844, 0.4001238355952206, 0.22217893392281618, 0.6435265455709445, 0.998441588298489, 0.32087890770739147, 0.06186171734212387, 0.1691632650201942, 0.8861327813905142, 0.9152899168232567, 0.9303526865656708, 0.23325915346011672, 0.2288862847785118, 0.5617659727425848, 0.998581548268938, 0.9318358917271212, 0.10102992117594012, 0.6836449111952873, 0.8357010486493055, 0.25027502301814397, 0.07554420977092058, 0.805736714836716, 0.9472449563800587, 0.21868206722689265, 0.14208469795969803
