0.33103465574913093, 0.7745856228204091, 0.4113486250070857, 0.6275174344708623, 0.5593447628455931, 0.38623171729014805, 0.6170304912383587, 0.7614506751993894, 0.04051694571319797, 0.8589662818974335, 
0.5138374426396978, 0.29485037821900306, 0.7714844527591314, 0.12756684530948537, 0.27286537653345655, 0.3452796212877072, 0.7048390111320553, 0.5005424388060398, 0.6724720457114435, 0.21528978700119816, 
0.6180766909533857, 0.7915709265178574, 0.6960508904688785, 0.7262499895575535, 0.288323540857388, 0.5314279827954345, 0.19619617000777034, 0.980551293509188, 0.8705347763923996, 0.9496444719421083, 
0.6283015871405401, 0.09276583161729868, 0.7115050990371863, 0.30379235186934006, 0.33902858345804665, 0.26800400667713065, 0.029668317156208768, 0.8225545038624801, 0.5226937079761746, 0.9871631975460888, 
0.6650150913198236, 0.5339544416833878, 0.8725890252330254, 0.7127272239849115, 0.9305319453558871, 0.22556591911620683, 0.24419371962691816, 0.3040974715063095, 0.5088792489857884, 0.15499604617490914, 
0.25723143081889344, 0.15336202719367942, 0.26637703400164325, 0.14719579102978753, 0.6987117499973042, 0.7632133811742253, 0.5895471715205006, 0.3281347719844043, 0.11147026810336247, 0.3874904931909683, 
0.8991358778754893, 0.6135214404016968, 0.011834334167796556, 0.97361536545422, 0.03623924224945918, 0.9459939613129578, 0.3694179283517063, 0.074182808572276, 0.2474883093193908, 0.20999401789375227, 
0.5601060832663032, 0.1363479229227289, 0.08089993836997234, 0.6512752625603081, 0.8687906836132079, 0.8738027367697285, 0.5081242337722052, 0.6448785125943185, 0.6215240264921893, 0.35366400987657054, 
0.05403592554761827, 0.780857003227, 0.7481163241481998, 0.7559981737084144, 0.6623309567420597, 0.1870048630496376, 0.13551254759988873, 0.3891713841258393, 0.16564932806465105, 0.47745307959108907, 
0.25750221849759913, 0.23663102430877836, 0.5997259294259996, 0.6738422441477707, 0.5111751449907683, 0.9423013342550167, 0.7161751463216364, 0.7272195732534689, 0.6187458176445386, 0.2668767035744536

0.7616648987495246, 0.3880496020618135, 0.7963074322726881, 0.6806024456578891, 0.0018261236827338267, 0.9942433311853732, 0.41875825725695526, 0.3851604116537899, 0.7748642468417182, 0.12107013871525463, 0.38507208258849757, 0.5775277526106929, 0.8934598500701193, 0.6179119732824822, 0.625811229599541, 0.20654668225920514, 0.9858767410816346, 0.8947328945653218, 0.6163306544744344, 0.9686124800393985, 0.7750223194939093, 0.46029480308370285, 0.37865933830070353, 0.7903642053423939, 0.6487536328363944, 0.6894988794257306, 0.18553816257361266, 0.2787738112939038, 0.8147308599292615, 0.03522628121272697, 0.7043814673112188, 0.41654769836328365, 0.3234827217997055, 0.22219079831540645, 0.2915081980161197, 0.540324979887037, 0.07111268164821705, 0.2143455219098901, 0.23134356615089435, 0.3407432341484615, 0.10848314467257147, 0.967751708870992, 0.909145379634907, 0.39259632829026214, 0.3599197895936821, 0.7691867102633124, 0.745745608258069, 0.01285935869109922, 0.023610823105695622, 0.7004292580769599, 0.3349802520988169, 0.9292663821361161, 0.07545290468586008, 0.21058061607598766, 0.2651811221773117, 0.34236666676077443, 0.7781251634144061, 0.20294882326063557, 0.3102299472760862, 0.1946616289723212, 0.740778476952736, 0.7300807263928015, 0.5257486814164667, 0.11684344171113292, 0.8331481822372456, 0.11063948476932739, 0.2631690305795805, 0.7733679576518954, 0.7364130215295986, 0.35775884172372674, 0.7994748789563897, 0.622286779219745, 0.5877664040070648, 0.17666474954253675, 0.5159780745095909, 0.062277515221332624, 0.13794744906334833, 0.9542494842239987, 0.41408987974431544, 0.9801671547734498, 0.042862933068035014, 0.7813076541856185, 0.7762528102829772, 0.4922862555253025, 0.8810822265320197, 0.5784834755044843, 0.4893696361610832, 0.15053648702832434, 0.8398235137459652, 0.029728419423395103, 0.47473548004202204, 0.2655554277272496, 0.07068019509951895, 0.708330713502765, 0.942162665105133, 0.7584091146804081, 0.9446959141023862, 0.21407989128487492, 0.5348799564039987, 0.9828921493287438
