0.09491877348346645, 0.7506090138507893, 0.8991323265422791, 0.07865626498762135, 0.1106017265689746, 0.9027149470654602, 0.8208690236692339, 0.7546763659531133, 0.1237368086976609, 0.6153388935284614, 
0.743539206791281, 0.833212072428007, 0.15213056860057272, 0.24186235446677895, 0.8607790928099055, 0.9365693339698404, 0.5471578801824534, 0.6618454375289838, 0.6546066266659135, 0.2526439220637223, 
0.24953000566958405, 0.19035001325635248, 0.3301592994064323, 0.0631089475672102, 0.04401208719698824, 0.2141012246855627, 0.1531632531983631, 0.5946285623868534, 0.855588235852607, 0.5638299926811049, 
0.52021681279245, 0.8421771921135639, 0.4537832258897516, 0.8003786794760825, 0.27025356609439044, 0.9667714435942116, 0.3134945385961613, 0.5113271985665674, 0.3494308836061989, 0.778466298200084, 
0.4280149476147719, 0.4912275162776747, 0.5857765575746566, 0.07773553201844308, 0.5981791457661082, 0.3095198817333358, 0.45408608108448667, 0.3831116536010746, 0.9098801038727146, 0.9255320702060451, 
0.1942930906131506, 0.10437545816353044, 0.7870476962800333, 0.2695193831450643, 0.3878242744320658, 0.11190974939764442, 0.46948427292238004, 0.5645054360345704, 0.2381827697698291, 0.11435162478227745, 
0.528704437447394, 0.36520187910643376, 0.9219816429414684, 0.8561647297190588, 0.47461176126795124, 0.4239074523922711, 0.4177261550391661, 0.5253945420068882, 0.9005970793218512, 0.6546310020627191, 
0.15992735243134248, 0.3111306141165199, 0.032857484579548624, 0.21050818422294582, 0.08218316015592286, 0.9364599453223031, 0.4140521954321258, 0.032371137549483175, 0.3293969355980991, 0.4082443445163758, 
0.1825095415959609, 0.5720846063599122, 0.14916093468769864, 0.732406216187029, 0.3065918326220737, 0.8887743004161571, 0.4685444178937793, 0.43894177830773773, 0.7636515287110073, 0.7078956264389545, 
0.6509813467191726, 0.20904133631637634, 0.4863235618741435, 0.6912289457904335, 0.4125514944810159, 0.49073031915202625, 0.3059687632314747, 0.8879555987106323, 0.450716352759433, 0.056265165396678585

0.871333835163678, 0.8344987185909252, 0.6402926065431054, 0.9839368622996115, 0.6347191513653315, 0.670455006519024, 0.19801878416792973, 0.10564114384841528, 0.5461654860590767, 0.006177973488820654, 0.3967744602867037, 0.8596915808557685, 0.6599370601849738, 0.539959440615878, 0.05399337006900751, 0.8259421541209859, 0.5374924268930755, 0.732302279467829, 0.5716314482817589, 0.1038883618948443, 0.043830855775957356, 0.9694981680836712, 0.42031175098057116, 0.4703925991605744, 0.7011178196665987, 0.009153401010182027, 0.8074665567752424, 0.1881448564885181, 0.24848245884639297, 0.5249740726200535, 0.8206776113449652, 0.21976296570959453, 0.07537237276085795, 0.1888818133642104, 0.11023242389947019, 0.1437069729051551, 0.6377732366976359, 0.35938840931808724, 0.6777047468360686, 0.11577465598216674, 0.2183804286829777, 0.15511000937202424, 0.5352314841756667, 0.16933261364727759, 0.778637230233556, 0.3873585794387281, 0.5326243714785568, 0.6367059960448083, 0.4596895635767254, 0.1373629868539542, 0.0986632227954598, 0.022833159685945126, 0.04912089773496797, 0.9051895336843457, 0.5890079257571241, 0.2373786801943838, 0.12853747876589172, 0.5626052662360401, 0.12387103727000892, 0.9382516127806788, 0.03331606031536016, 0.782815491881055, 0.9340849131894968, 0.9453776283193991, 0.8729734733818751, 0.6402659514376029, 0.01017267874734662, 0.37172486151438744, 0.557367848351448, 0.5976615579705254, 0.873541356522306, 0.20217622312434813, 0.7318757407470173, 0.9022419943670219, 0.34569739808192035, 0.37405036079544873, 0.5410181691480258, 0.19139153467266323, 0.3610409304195463, 0.38839882471936193, 0.796854531949456, 0.28179463818196104, 0.72945843575603, 0.33766144375658447, 0.8008138707860945, 0.3165453271281997, 0.7720493734940822, 0.517740543443178, 0.3575926005548399, 0.37934936533871877, 0.3386473845368414, 0.9708100871290009, 0.1925154103854788, 0.5138673139347202, 0.443084630543071, 0.746592346087431, 0.5993593579720672, 0.48502350537227623, 0.2649760789718386, 0.3380504320919341
