0.12984014436107216, 0.8723498242963273, 0.7155996000176709, 0.688934911836012, 0.954992613969229, 0.6004685867955144, 0.897333336859208, 0.7326043157603348, 0.6323718062919385, 0.41395502609820334, 
0.5012288694425798, 0.2042378043512285, 0.7378970321022577, 0.0525051725408906, 0.6719196467803984, 0.8182713144329541, 0.4483101538129086, 0.23404212621770193, 0.28515723779921187, 0.41057732484503684, 
0.18764613533812569, 0.6676146879021808, 0.8642530953708595, 0.5566241192280327, 0.9286979065582439, 0.3235571538576436, 0.8465634655503607, 0.5280637193724914, 0.04555264846397189, 0.8101379469326587, 
0.2564681098867405, 0.056895708182011506, 0.6041834747914432, 0.17079441212143687, 0.32294143931831487, 0.17219150691886642, 0.4820565616016166, 0.8184265296484533, 0.1432078891504538, 0.6073987781764184, 
0.31856543786623204, 0.421051230320451, 0.8812116826409646, 0.17012826270020454, 0.7213515114004491, 0.35351999986626415, 0.8615261290707409, 0.17758416866774085, 0.01809060860964473, 0.5651018670908342, 
0.8183658783286549, 0.2837744278499912, 0.45673137224516314, 0.9610669010688571, 0.05230589961284493, 0.25503157900113116, 0.6129652871640184, 0.20321166946964142, 0.5026750528353082, 0.5578987485908448, 
0.3473912149472459, 0.2406206455047818, 0.5439684385787008, 0.25624231237650386, 0.8604249865539415, 0.9910840850448357, 0.9326603244169943, 0.09641854349385326, 0.1648080137871566, 0.6111831181574389, 
0.38615217969505033, 0.07308353051869465, 0.3491502459381922, 0.635055728785932, 0.688185594766458, 0.06833203108846075, 0.1834486007287277, 0.13444604046691266, 0.5707971920137639, 0.42242904399297754, 
0.5227893389228627, 0.6842523405477692, 0.8745904268420686, 0.8070870233176255, 0.8163636982336244, 0.917887146081082, 0.5759724685620157, 0.8122457362708901, 0.9798176735364733, 0.33926543263490194, 
0.21289725070780452, 0.6350070468524597, 0.20825839098462073, 0.3202041372074762, 0.06076532735948448, 0.8403329030675926, 0.7413798763024101, 0.3574039122906877, 0.6289028540994761, 0.7276738863472413

0.7246044610551106, 0.16990129100073936, 0.6441976533752617, 0.6887665876836342, 0.7971256426583435, 0.7198427384131916, 0.4031869616669236, 0.16134661917151794, 0.6550636798303148, 0.011730524989843616, 0.826472527732392, 0.818148231612065, 0.8601038190645416, 0.08016300168276091, 0.02014061723722249, 0.21103744704455385, 0.8141012443909615, 0.4832348699023481, 0.6387921685770529, 0.5852886128961969, 0.5324739704703991, 0.4965623510556766, 0.0179842378343672, 0.04136719624218732, 0.24605794654706514, 0.6801598359416816, 0.2712730296209982, 0.6664346159450375, 0.2633782438835237, 0.1740156068103187, 0.8288861443888794, 0.24445250778389338, 0.9606946388370897, 0.3756403434492668, 0.8159822287654024, 0.21498004934770365, 0.6378672379464525, 0.9807867783125093, 0.3905298238017956, 0.31962894342171855, 0.12526963691042603, 0.6220905474844298, 0.15007261369035763, 0.21305124471692494, 0.7832954006686943, 0.9554651564300849, 0.990554317673699, 0.019247227770744058, 0.793521174279235, 0.3739740173808649, 0.7814057263108907, 0.11914332455705912, 0.2331822734394432, 0.496484099744122, 0.3434731451698272, 0.9917509249916097, 0.04310726439431112, 0.5821805408873537, 0.2535485142616647, 0.7969282083895874, 0.1369651157839612, 0.05948673966446638, 0.46444886738272195, 0.5973406218427284, 0.6915319630080251, 0.3339863001829544, 0.6420486473732543, 0.3783833391404565, 0.6961064264696727, 0.8430163473596237, 0.5418590919861784, 0.5429286738530799, 0.7162644764338493, 0.9906386531687168, 0.7148790477374976, 0.05195422687698692, 0.5904111271029236, 0.11292601500515465, 0.2801159096040853, 0.09587344443489676, 0.34111868636364584, 0.04784694165202552, 0.026679880382230348, 0.5348499786579238, 0.7469090958371419, 0.8257663443775344, 0.8821992192002481, 0.14234156211215654, 0.09986522662059527, 0.9472627209363336, 0.02834819962062174, 0.3793778459089503, 0.7642289207116767, 0.5865596850558166, 0.8764065579519961, 0.37450437201320796, 0.7856863458944369, 0.3010470597405185, 0.9731463492863974, 0.7323125842937344
