0.19119844894331106, 0.6871617958245417, 0.6126013053584444, 0.10263642978069709, 0.05682779526541015, 0.4560039564769707, 0.017798404196291417, 0.3655375382333028, 0.5469560625064988, 0.44612475530254925, 
0.7999715520971772, 0.06605167813817425, 0.6789921633704709, 0.7549053568234314, 0.35181928476232927, 0.7537511069275012, 0.31325109123650663, 0.7123471382570693, 0.43027827695138354, 0.98113269001377, 
0.9447496860783511, 0.5274076812825746, 0.14487006054782936, 0.7673646739671767, 0.7240590096865921, 0.8856040638442135, 0.7157760558428569, 0.41482046670316797, 0.3847876731567763, 0.5076532874091532, 
0.35752652889585934, 0.1022643927745196, 0.6428292279049053, 0.34538122268533, 0.7302721392389059, 0.6820928674882922, 0.19543528773858698, 0.01742204886463461, 0.07115785101634564, 0.7620587381028199, 
0.4066994755222154, 0.6798090079242595, 0.8575636515917622, 0.9662982751698938, 0.26100326553761277, 0.6380268864489735, 0.5649966696229555, 0.2715157815254575, 0.8150560462056063, 0.7941652843070643, 
0.5453507680476838, 0.825122104676411, 0.6655612208012274, 0.5400130383419194, 0.8742316103505221, 0.7465250872334699, 0.8841017481733023, 0.02356543874058925, 0.3033174877108943, 0.8946048305417162, 
0.9171128257904287, 0.9146703810280616, 0.35295174062280077, 0.41873553572502087, 0.21519972274386634, 0.2869827545956932, 0.6259844323056952, 0.7837055266882819, 0.4129677446527421, 0.5830500344690339, 
0.0071481748148302104, 0.20523947232727557, 0.7850087878295443, 0.4662215199683182, 0.35499666493921445, 0.17726158967815642, 0.407659771916841, 0.20563265161882238, 0.041329488130589564, 0.3201228706490956, 
0.6001463549675963, 0.8489496358021349, 0.34014328623302137, 0.04891929486281443, 0.8629454541151335, 0.03551931022289101, 0.19230674649323198, 0.998776857091988, 0.3292238948507098, 0.8859344411684815, 
0.5686312904239047, 0.5816013658075224, 0.9397181585077217, 0.8008135347141282, 0.4302858783095812, 0.12160356877129419, 0.12359627935641881, 0.5845061771281371, 0.341448399427973, 0.886425754000661

0.12912828826466405, 0.9133939899960716, 0.7704477245845984, 0.08117136255327018, 0.8943517986610897, 0.43954907243882735, 0.5411747052137401, 0.008445204191591671, 0.11733713958089098, 0.23694076190122781, 0.6536197531202851, 0.041898956221471995, 0.26571677858955434, 0.5276337910301189, 0.1932457482876171, 0.2622717429296051, 0.10631333656082453, 0.47654405704543734, 0.8860054238844862, 0.6292805498186486, 0.30949962919146423, 0.7806257066912862, 0.33687717548567686, 0.8004570339454344, 0.9181270748004217, 0.23226853050485996, 0.09065546924034307, 0.037814249826764956, 0.8429935381883052, 0.5181869716977499, 0.24885516594716361, 0.27774236754529225, 0.5048091446295777, 0.8204816600450531, 0.9526261795034824, 0.8444051281141299, 0.3580266623453121, 0.03989824624326199, 0.2124461134741028, 0.0711846955267591, 0.538813064874488, 0.7602923359610875, 0.5646921690107648, 0.030586888229513165, 0.39847255848660046, 0.17808472276673237, 0.5279651659343012, 0.6598983186899401, 0.19922742621880274, 0.7284667588117009, 0.36234601150958645, 0.6842302863073649, 0.5504752565588609, 0.4888834090559898, 0.33217257913391096, 0.3441126856094612, 0.01969183346944714, 0.03130606677901315, 0.42786958513687634, 0.4663618856749666, 0.8905525756738915, 0.976466847162237, 0.5265471019640863, 0.2997391305265438, 0.06407590221719184, 0.4343559517078225, 0.03873465128302267, 0.48851048421334375, 0.8463993474870537, 0.4048282068567923, 0.7502928609943887, 0.700387596671594, 0.5092208695851179, 0.014394487264670186, 0.359265215256763, 0.047790660588061806, 0.7015835952133329, 0.02966799377618423, 0.4096345332308331, 0.42938667203885994, 0.8411296942871618, 0.7070540007157989, 0.4656662331020821, 0.9484755895344111, 0.11756243612197592, 0.733103785488933, 0.08766516531971669, 0.8475772056425727, 0.749036597237063, 0.641786952169101, 0.18247670777613578, 0.9419926482358194, 0.5522058604575405, 0.9859498731433758, 0.7600468963408366, 0.2422551737312476, 0.8649585492976253, 0.21814860279310322, 0.1360769441301295, 0.8476308609627652
