0.6443263720493535, 0.11143549703220357, 0.5613516837924794, 0.03504906932097673, 0.9884956276662354, 0.23355713229076047, 0.42869678805631806, 0.8031978861261776, 0.7223211976145458, 0.8514818793180802, 
0.7678488091774645, 0.048234333835802334, 0.978354175477859, 0.40889192029662624, 0.5904021892868807, 0.5938172208028872, 0.5758129400889769, 0.33177167970157395, 0.12996134471212706, 0.8930057008256722, 
0.5479113150237129, 0.772766382252654, 0.5022382358443819, 0.4044289171445117, 0.5408353889419829, 0.11681553018534951, 0.14007664399472586, 0.05695853805251205, 0.4444071790047325, 0.9795903112118085, 
0.4508481701595056, 0.9296026028673186, 0.044382503964158215, 0.7479510192561025, 0.24012176934449614, 0.22834882555610492, 0.9910447014544302, 0.691120180391183, 0.914608270941773, 0.4377267381933514, 
0.10172436773972993, 0.9059951849940487, 0.33393230157757847, 0.11872313436595505, 0.14476263593554461, 0.08741457381608331, 0.5681086175894932, 0.9878232452271629, 0.23143861538744936, 0.7214435130878866, 
0.02150795425345564, 0.38255547836115766, 0.15303094597025935, 0.9901632945773736, 0.20438438514899981, 0.7034090867339774, 0.9213174626617902, 0.5484369959406388, 0.13707701861113353, 0.16085824550693717, 
0.6342163967561617, 0.5424795165775449, 0.09151268453819517, 0.46202569776257785, 0.11985658077306005, 0.10530108544361216, 0.23865139384250256, 0.19005917570285413, 0.14916829981709145, 0.797313167440403, 
0.8581940995526733, 0.8478030142727442, 0.7241915109943013, 0.2502716444204365, 0.8160506374966715, 0.823384027364294, 0.9946567028202513, 0.9016119961318118, 0.9847784960690956, 0.15705141749325802, 
0.09630434479431416, 0.02337667207476113, 0.8119191863282089, 0.6433802593596495, 0.3937471230030939, 0.6774613585805017, 0.10749725398900078, 0.8771115754019133, 0.2584280778131174, 0.5327544118453322, 
0.3607645214881222, 0.881212937760687, 0.32424006405916816, 0.3052587027360102, 0.024226033334369235, 0.2620474680890107, 0.14236877206046306, 0.7984839949709671, 0.4414813977264298, 0.608591843993499

0.6144674002881493, 0.28001634257979735, 0.3874887282420033, 0.8171920447095348, 0.10237988390514308, 0.889815417644993, 0.24971971499462653, 0.5449129154754468, 0.4799102477391378, 0.6601149680158965, 0.5928489653751589, 0.7883227705117883, 0.8957082512574737, 0.29660185415449203, 0.7166635939347384, 0.8771081860615635, 0.04833062550263356, 0.9547522828822644, 0.4850742469876942, 0.031479656435154046, 0.9673536280677044, 0.5686888801443724, 0.6634478117839895, 0.9518093533281585, 0.43558141232735625, 0.6276789521659091, 0.5172302341536049, 0.1445677055443526, 0.7936315580539989, 0.6509943910255941, 0.5830692729328314, 0.17486991398529816, 0.5916202647912434, 0.1631900102939463, 0.86795912512511, 0.3888603827902286, 0.7258637786571575, 0.5696633522392678, 0.8104084790115612, 0.9953422834248277, 0.3875542963482993, 0.9582625749603183, 0.4686448629957799, 0.941828956269993, 0.34650767282743733, 0.5893515037871992, 0.636564882230351, 0.3934373866491273, 0.6895044819876791, 0.2023227042063902, 0.7412296250302144, 0.29145097428037825, 0.8897083990081452, 0.7638691289280205, 0.4500446208923733, 0.44262139500130215, 0.5162041966375968, 0.18339362243128776, 0.44484513878714504, 0.12375154002742239, 0.9742841292033214, 0.1061372619723725, 0.5058399578010719, 0.9965639902013201, 0.06424645698670428, 0.9771368905621934, 0.8228203508420965, 0.24291865731315765, 0.2931010151922514, 0.0015510171569498299, 0.19638103779057847, 0.5701172763604732, 0.8200631772783943, 0.9686176225700565, 0.20082778737190454, 0.7595993891129594, 0.6383030103622426, 0.35729198139870233, 0.017030863235734772, 0.31380919407591246, 0.9117938058099259, 0.8792482972485991, 0.457010551239013, 0.5104371844997856, 0.1410912215932475, 0.15831450910851852, 0.03903043262661299, 0.4619955615720738, 0.09627188842702417, 0.09237578802722113, 0.8812506011436596, 0.6593092803747551, 0.6778782616590481, 0.8523334443963813, 0.8116922659781547, 0.6870814309399004, 0.5286945105952936, 0.731606790345235, 0.42407484724438516, 0.8864193227471593
