0.4551838015844385, 0.6669040269684695, 0.6031754414077327, 0.907129602008617, 0.03648103990338514, 0.5303554055167689, 0.1873303674287249, 0.12930026015718543, 0.2574530496116284, 0.866870534053631, 
0.9604706774667141, 0.9558854913242786, 0.5720864318254858, 0.30084196031640065, 0.9315173673506959, 0.6447807853994365, 0.09337059378768742, 0.16423464872467697, 0.9300658112203135, 0.7805841341954803, 
0.24299189387967624, 0.21269258355691312, 0.814567074320061, 0.27149596638421647, 0.6088398396492506, 0.3335481653809971, 0.28915544028391615, 0.8882833480936616, 0.43911932626198324, 0.09040978667726063, 
0.1748096774748673, 0.336313571499087, 0.21160282729936686, 0.17737413826121728, 0.9570660079568521, 0.9955843923382802, 0.724445349395914, 0.0892495694389912, 0.9931798324966826, 0.6296299884998675, 
0.2801816575186533, 0.7383992904703208, 0.5788957722926822, 0.05540993189907384, 0.6086138155968738, 0.29561765524301453, 0.21064760956256356, 0.7947792494327407, 0.16358171930828402, 0.35980522029874973, 
0.7463351572573637, 0.03193600822965437, 0.3564200839973932, 0.8259814749513721, 0.9384702420493812, 0.259013244259815, 0.7555659654536656, 0.23189294717826447, 0.7154002478488464, 0.32667834030381826, 
0.01285572987330541, 0.28367385949119406, 0.5703611368720696, 0.106317269375924, 0.6671526626226558, 0.09191945881030095, 0.6676356491002542, 0.5434093243236916, 0.6467085670380108, 0.6040424906963546, 
0.4375658814119252, 0.44370908977456003, 0.291492906231848, 0.21903100737388048, 0.5563940480162085, 0.1526465418515197, 0.41899034249069145, 0.515892886164037, 0.5538777128032539, 0.044626183758380455, 
0.494845562743379e-05, 0.717653086968541, 0.17312674951123308, 0.5218240459132718, 0.4413820240250633, 0.20296151085911807, 0.16760327047385304, 0.6830190866428524, 0.4927370748106401, 0.5782367682408155, 
0.5535321796774546, 0.41483713495462726, 0.2429614528370989, 0.455361734282246, 0.5342269243430415, 0.8382888038021539, 0.21178990857850966, 0.9718143291456535, 0.8692238006591261, 0.5468515155697946

0.989489315240428, 0.6305103878711616, 0.019793109808336817, 0.7849984179980605, 0.2667299090420977, 0.2775339839360139, 0.799402598596706, 0.8927295477479769, 0.30944642970984737, 0.897392360353958, 0.7549431673126662, 0.5017578275358091, 0.006615268311513489, 0.975215034568832, 0.035395152639844496, 0.2830239793536501, 0.32141196680833706, 0.6675627013179134, 0.21013918026953526, 0.27110251339943825, 0.6452006712741153, 0.42691284025168985, 0.4759321210343582, 0.08105882378358065, 0.06902948907398943, 0.15272384348278667, 0.3421785298849883, 0.7698998443731273, 0.35245091326593814, 0.05023676874184857, 0.9634327996614536, 0.8518368399962094, 0.2759331687647647, 0.911504397524152, 0.5536190146170519, 0.36530809825787336, 0.8014382926496617, 0.4255575512954657, 0.5631895511811644, 0.929467578134251, 0.8762812359652898, 0.01661452341408909, 0.1805422923509049, 0.31802997843758674, 0.513242789085772, 0.6016460160834896, 0.32751120257175836, 0.10106411119062753, 0.12127858441093808, 0.706046801785148, 0.7465681507803064, 0.6288109709374259, 0.15425518644518454, 0.8138750800588649, 0.32340500917606163, 0.6753810180247246, 0.36558758710944017, 0.047343961616895136, 0.047984055233188605, 0.48822201206432714, 0.1804418088130223, 0.4421114607173864, 0.03775582825483603, 0.43677992498018403, 0.8492249454387484, 0.5055291219328025, 0.36073101811461705, 0.961290875861211, 0.27290176354737306, 0.046151323541915645, 0.6303257555599658, 0.052224020581510766, 0.6624945675890569, 0.4291417167275431, 0.26469056469669194, 0.5063578512245276, 0.9439934381850338, 0.9505367232652643, 0.5535909314841287, 0.44549078722096425, 0.5155293681326312, 0.20571882192844237, 0.0025526036140521846, 0.6687629274324112, 0.08907347585363168, 0.38999836554284106, 0.11218670453755486, 0.8681612260584812, 0.7256095624339469, 0.047268802237903196, 0.9244940301325265, 0.33950462954148075, 0.9552603125624096, 0.2746901600309021, 0.014436452908639485, 0.775457250918864, 0.7241453699544091, 0.12126548743964849, 0.5467381195823002, 0.8635341951681882
