0.32660950079725526, 0.2969084024484515, 0.7308307054477051, 0.7867594346660486, 0.34512541423178955, 0.31598565621116603, 0.43891874056363456, 0.7069631098564825, 0.16816604236625388, 0.5096921462902142, 
0.8065298320282851, 0.7927641476748405, 0.5650031058197824, 0.009125015678548731, 0.9132578825359733, 0.271193268662818, 0.8509854844192799, 0.4594303868535782, 0.6070449407442663, 0.2697331883290376, 
0.5056260084937207, 0.1868656898563037, 0.11259127702769867, 0.9079290781783133, 0.612585884106281, 0.8624162950937596, 0.23116642715042546, 0.08642723184672829, 0.7843240314255646, 0.9147586760372053, 
0.1379947407939821, 0.04680102320222179, 0.13657889611814333, 0.7091155662941612, 0.5483792398245516, 0.0798964134632052, 0.12323366828708482, 0.26441049927308746, 0.8557265841943215, 0.3504827232608655, 
0.25665556978414306, 0.4266249850985143, 0.06738098672740755, 0.40986957055004525, 0.45775115224472507, 0.024683062838376513, 0.18861245606023946, 0.08632680163905304, 0.953390815757716, 0.8339977487483287, 
0.0803199312194387, 0.6813569066753451, 0.6695503087588673, 0.45872680905884655, 0.7587810415416526, 0.5588777298541561, 0.358106071389961, 0.9120171897644952, 0.6075063160026234, 0.8910091661970428, 
0.7441784928399441, 0.8450243579724678, 0.4030996818665621, 0.030919249959434403, 0.8018833441202794, 0.6839782199022325, 0.7477041531448337, 0.21741593464274123, 0.17670135017058097, 0.22192157980619975, 
0.9052844671672547, 0.6017316274830662, 0.773298850191995, 0.8019694451187049, 0.49041617620054156, 0.5316183636787906, 0.024703559464806846, 0.20196588778557378, 0.05675127464308527, 0.3059472130029285, 
0.5336836775425743, 0.8085936399706841, 0.22355545351113815, 0.20607084659236408, 0.5217806754998907, 0.9722432158705927, 0.2525452874885399, 0.914631800350923, 0.8668181465113711, 0.28371314455362173, 
0.39735541132393926, 0.16269473521470768, 0.7631875665941719, 0.7361687495144785, 0.35853276356585495, 0.5232466363984926, 0.05335558225494785, 0.4806241337190277, 0.4220862089938241, 0.6053292886959893

0.4912796635203308, 0.6089988069590828, 0.886790866695831, 0.17521975475878238, 0.059139416944895884, 0.14703038178111938, 0.09226233328212108, 0.089104801869482, 0.6241817783623985, 0.18598372928198492, 0.8159463040683177, 0.915888886153903, 0.18018782459307237, 0.2936200617370698, 0.2909037024215356, 0.19391458363371072, 0.27990579136129146, 0.8460427486165985, 0.8510640797369877, 0.42192084096263727, 0.5646639399471634, 0.2683430474952624, 0.8754948818264453, 0.6001174236298917, 0.4919034032829559, 0.7744339764335768, 0.9106288236975478, 0.8729044988917806, 0.5915210656964079, 0.7418811628871963, 0.5939759492401889, 0.3360509583703519, 0.7669621268413269, 0.7415012637319772, 0.6595272123905145, 0.19328200856408762, 0.6673063617889246, 0.7749888791309725, 0.654627895453687, 0.21546026538681995, 0.06852613667137908, 0.9731046620559454, 0.2687854433333914, 0.7247488946045383, 0.21416874447261391, 0.04108199547168789, 0.7103214439811314, 0.9243543585601435, 0.5624114530356353, 0.23308426514298597, 0.39296964945440127, 0.833085034028019, 0.37697331766326436, 0.8695154871623604, 0.41161497773446154, 0.3430529666009765, 0.5841616094116365, 0.7396108336062828, 0.4304846363717715, 0.05738863306209696, 0.34992986255250236, 0.8448894040377137, 0.856259432572791, 0.28510482278490545, 0.2194488445461351, 0.6656861241874931, 0.04405020267400328, 0.6502283245379793, 0.5235138348050071, 0.4163533499855008, 0.7158375605973426, 0.08776114959117387, 0.15248175682133747, 0.6378589365654324, 0.5690353316601603, 0.7321824145099644, 0.821840645188403, 0.5282852880320861, 0.3804030722261199, 0.3846815924806648, 0.8152902542624894, 0.23852972477931755, 0.6721240886499671, 0.8091314818655432, 0.6994082696920373, 0.8129413476919571, 0.03364127878366119, 0.4810716458676685, 0.8785059781471842, 0.1306337161839719, 0.8385260131571037, 0.10944231342710375, 0.7139721037867782, 0.8903288367953816, 0.664625184171685, 0.687303315492554, 0.5515248535940203, 0.4011199436948544, 0.08987271029012489, 0.7497421802352029
