0.27282440069545033, 0.44031237402795864, 0.459431160876442, 0.941872144184303, 0.9972846018640725, 0.9661215890829504, 0.7022965001142738, 0.4410817100722564, 0.2280425113975807, 0.6921443915174803, 
0.19559315576810565, 0.7213870131155006, 0.9126260924251481, 0.7460370948875974, 0.28464586528121405, 0.6993210923195337, 0.7592636527488378, 0.7896236836425891, 0.9970988231966994, 0.6079426128774484, 
0.4820643583773183, 0.9755555578257866, 0.6380758960391036, 0.9250686416131692, 0.6370233122298925, 0.22826289231770602, 0.5975489272469089, 0.5179411136059445, 0.9023257479780952, 0.7963351089022466, 
0.001356873597051722, 0.75553324258119, 0.14392597993663703, 0.17327125059650383, 0.2434294626445035, 0.9865547049777472, 0.8619744365176293, 0.5199837532723759, 0.08741095774332275, 0.2088655375512375, 
0.6340120202982676, 0.7116045017376268, 0.3315211149096221, 0.10219276947573686, 0.6129052070571469, 0.5609629936018241, 0.6994784551953025, 0.3886851710767961, 0.8609519756090989, 0.2574000387612899, 
0.07423324956418065, 0.5685680220896735, 0.7172190925521559, 0.7214708197119578, 0.9846766660625759, 0.9724637306478059, 0.0677126513790487, 0.0750934863118995, 0.3137046016356553, 0.9483392303713756, 
0.12425591502553879, 0.9172244164253558, 0.2850523885222126, 0.3240175905346202, 0.3197476387231063, 0.6539377429160319, 0.025081064001779008, 0.8998998750426834, 0.9156305199422048, 0.13341354304863928, 
0.09671949645279632, 0.13143056605152725, 0.14387681091849114, 0.6888576782545107, 0.7201787462002808, 0.19159217642118032, 0.2825870193025998, 0.86090735486033, 0.08057292228297264, 0.6501006199297579, 
0.9661087296338355, 0.8450009142748965, 0.08681265903522928, 0.8220673193448794, 0.06237930079410192, 0.09630381868362237, 0.5949828949818836, 0.5044540563444266, 0.8972441031250578, 0.534862658800069, 
0.4826606861672764, 0.7882433247557855, 0.4283500709431002, 0.35790455711459845, 0.653631739643401, 0.5889486940261791, 0.8075513957936473, 0.13260140328027603, 0.26921075216631607, 0.029848260231608137

0.5605434764772619, 0.000504978654278454, 0.34322071706893353, 0.16368975708105193, 0.11420621168886236, 0.3660379080837045, 0.9834539023898929, 0.9798103397029615, 0.7182687439619093, 0.12457628984589342, 0.4494841924494679, 0.16437135043504536, 0.9786107040054532, 0.2228267869061149, 0.48285889400815185, 0.23263865535467199, 0.6097959489190893, 0.7307294000999953, 0.5030960503569031, 0.13721434424287127, 0.6910236640672467, 0.00809539249715785, 0.09446020046740433, 0.49444736246561316, 0.9291079092028516, 0.7467166930074508, 0.836602643897308, 0.910785864745306, 0.8124834369383244, 0.9920460446396079, 0.2473457100051787, 0.8823023243438572, 0.5461727794812089, 0.5507185299423053, 0.03844738485489463, 0.8011201217309123, 0.2651739529106011, 0.5987413440753304, 0.49215029095699037, 0.768977320272984, 0.8776269056729762, 0.7936281681988084, 0.05809186784119136, 0.21361132482955714, 0.7465521454987084, 0.5798424792602278, 0.5097034539156559, 0.8963659859866031, 0.979308978090788, 0.4084427248982442, 0.6408831414497477, 0.23010590793884722, 0.5833512973735385, 0.9591620782628664, 0.6584405333339559, 0.4154667036775527, 0.6312053260201713, 0.17932795613272123, 0.8633109720100594, 0.8329789307474705, 0.15560828906741553, 0.6561999694657876, 0.09190954378298599, 0.9456900584240391, 0.9230532226412628, 0.10316161769702226, 0.2388838864546614, 0.19745781350240665, 0.4422947350998774, 0.93984724937604, 0.7172572819268073, 0.8941903925923128, 0.5558441673445083, 0.5150747026983281, 0.2788056241675032, 0.7652959806883622, 0.5384419056113486, 0.9229117151256644, 0.0022599660311435343, 0.6457236567426091, 0.30047266920246896, 0.7347447467843304, 0.3051074785037504, 0.22513639826776133, 0.2517922717186176, 0.657347283610328, 0.6382042787055723, 0.7504832932519238, 0.48465835183075157, 0.8141472396877619, 0.15934771756021016, 0.6609969357840565, 0.9512646849338702, 0.006958734021629165, 0.9663504367332685, 0.012948218396614197, 0.6242701632314613, 0.3321121917486798, 0.47620203327794663, 0.8017238823748505
